datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2004 5:00:00 AM,1/1/2004 12:00:00 AM,1/1/2004 6:00:00 AM,1/1/2004 1:00:00 AM,PJM-E,27077
1/1/2004 5:00:00 AM,1/1/2004 12:00:00 AM,1/1/2004 6:00:00 AM,1/1/2004 1:00:00 AM,PJM-W,5121
1/1/2004 6:00:00 AM,1/1/2004 1:00:00 AM,1/1/2004 7:00:00 AM,1/1/2004 2:00:00 AM,PJM-E,25957
1/1/2004 6:00:00 AM,1/1/2004 1:00:00 AM,1/1/2004 7:00:00 AM,1/1/2004 2:00:00 AM,PJM-W,4939
1/1/2004 7:00:00 AM,1/1/2004 2:00:00 AM,1/1/2004 8:00:00 AM,1/1/2004 3:00:00 AM,PJM-E,24930
1/1/2004 7:00:00 AM,1/1/2004 2:00:00 AM,1/1/2004 8:00:00 AM,1/1/2004 3:00:00 AM,PJM-W,4835
1/1/2004 8:00:00 AM,1/1/2004 3:00:00 AM,1/1/2004 9:00:00 AM,1/1/2004 4:00:00 AM,PJM-E,24359
1/1/2004 8:00:00 AM,1/1/2004 3:00:00 AM,1/1/2004 9:00:00 AM,1/1/2004 4:00:00 AM,PJM-W,4839
1/1/2004 9:00:00 AM,1/1/2004 4:00:00 AM,1/1/2004 10:00:00 AM,1/1/2004 5:00:00 AM,PJM-E,24400
1/1/2004 9:00:00 AM,1/1/2004 4:00:00 AM,1/1/2004 10:00:00 AM,1/1/2004 5:00:00 AM,PJM-W,4780
1/1/2004 10:00:00 AM,1/1/2004 5:00:00 AM,1/1/2004 11:00:00 AM,1/1/2004 6:00:00 AM,PJM-E,24949
1/1/2004 10:00:00 AM,1/1/2004 5:00:00 AM,1/1/2004 11:00:00 AM,1/1/2004 6:00:00 AM,PJM-W,4846
1/1/2004 11:00:00 AM,1/1/2004 6:00:00 AM,1/1/2004 12:00:00 PM,1/1/2004 7:00:00 AM,PJM-E,25729
1/1/2004 11:00:00 AM,1/1/2004 6:00:00 AM,1/1/2004 12:00:00 PM,1/1/2004 7:00:00 AM,PJM-W,5011
1/1/2004 12:00:00 PM,1/1/2004 7:00:00 AM,1/1/2004 1:00:00 PM,1/1/2004 8:00:00 AM,PJM-E,25953
1/1/2004 12:00:00 PM,1/1/2004 7:00:00 AM,1/1/2004 1:00:00 PM,1/1/2004 8:00:00 AM,PJM-W,5167
1/1/2004 1:00:00 PM,1/1/2004 8:00:00 AM,1/1/2004 2:00:00 PM,1/1/2004 9:00:00 AM,PJM-E,26380
1/1/2004 1:00:00 PM,1/1/2004 8:00:00 AM,1/1/2004 2:00:00 PM,1/1/2004 9:00:00 AM,PJM-W,5267
1/1/2004 2:00:00 PM,1/1/2004 9:00:00 AM,1/1/2004 3:00:00 PM,1/1/2004 10:00:00 AM,PJM-E,27047
1/1/2004 2:00:00 PM,1/1/2004 9:00:00 AM,1/1/2004 3:00:00 PM,1/1/2004 10:00:00 AM,PJM-W,5394
1/1/2004 3:00:00 PM,1/1/2004 10:00:00 AM,1/1/2004 4:00:00 PM,1/1/2004 11:00:00 AM,PJM-E,27872
1/1/2004 3:00:00 PM,1/1/2004 10:00:00 AM,1/1/2004 4:00:00 PM,1/1/2004 11:00:00 AM,PJM-W,5464
1/1/2004 4:00:00 PM,1/1/2004 11:00:00 AM,1/1/2004 5:00:00 PM,1/1/2004 12:00:00 PM,PJM-E,28202
1/1/2004 4:00:00 PM,1/1/2004 11:00:00 AM,1/1/2004 5:00:00 PM,1/1/2004 12:00:00 PM,PJM-W,5520
1/1/2004 5:00:00 PM,1/1/2004 12:00:00 PM,1/1/2004 6:00:00 PM,1/1/2004 1:00:00 PM,PJM-E,27998
1/1/2004 5:00:00 PM,1/1/2004 12:00:00 PM,1/1/2004 6:00:00 PM,1/1/2004 1:00:00 PM,PJM-W,5386
1/1/2004 6:00:00 PM,1/1/2004 1:00:00 PM,1/1/2004 7:00:00 PM,1/1/2004 2:00:00 PM,PJM-E,27514
1/1/2004 6:00:00 PM,1/1/2004 1:00:00 PM,1/1/2004 7:00:00 PM,1/1/2004 2:00:00 PM,PJM-W,5305
1/1/2004 7:00:00 PM,1/1/2004 2:00:00 PM,1/1/2004 8:00:00 PM,1/1/2004 3:00:00 PM,PJM-E,27044
1/1/2004 7:00:00 PM,1/1/2004 2:00:00 PM,1/1/2004 8:00:00 PM,1/1/2004 3:00:00 PM,PJM-W,5179
1/1/2004 8:00:00 PM,1/1/2004 3:00:00 PM,1/1/2004 9:00:00 PM,1/1/2004 4:00:00 PM,PJM-E,27140
1/1/2004 8:00:00 PM,1/1/2004 3:00:00 PM,1/1/2004 9:00:00 PM,1/1/2004 4:00:00 PM,PJM-W,5123
1/1/2004 9:00:00 PM,1/1/2004 4:00:00 PM,1/1/2004 10:00:00 PM,1/1/2004 5:00:00 PM,PJM-E,28495
1/1/2004 9:00:00 PM,1/1/2004 4:00:00 PM,1/1/2004 10:00:00 PM,1/1/2004 5:00:00 PM,PJM-W,5312
1/1/2004 10:00:00 PM,1/1/2004 5:00:00 PM,1/1/2004 11:00:00 PM,1/1/2004 6:00:00 PM,PJM-E,31985
1/1/2004 10:00:00 PM,1/1/2004 5:00:00 PM,1/1/2004 11:00:00 PM,1/1/2004 6:00:00 PM,PJM-W,5859
1/1/2004 11:00:00 PM,1/1/2004 6:00:00 PM,1/2/2004 12:00:00 AM,1/1/2004 7:00:00 PM,PJM-E,32572
1/1/2004 11:00:00 PM,1/1/2004 6:00:00 PM,1/2/2004 12:00:00 AM,1/1/2004 7:00:00 PM,PJM-W,5936
1/2/2004 12:00:00 AM,1/1/2004 7:00:00 PM,1/2/2004 1:00:00 AM,1/1/2004 8:00:00 PM,PJM-E,32365
1/2/2004 12:00:00 AM,1/1/2004 7:00:00 PM,1/2/2004 1:00:00 AM,1/1/2004 8:00:00 PM,PJM-W,5882
1/2/2004 1:00:00 AM,1/1/2004 8:00:00 PM,1/2/2004 2:00:00 AM,1/1/2004 9:00:00 PM,PJM-E,32057
1/2/2004 1:00:00 AM,1/1/2004 8:00:00 PM,1/2/2004 2:00:00 AM,1/1/2004 9:00:00 PM,PJM-W,5794
1/2/2004 2:00:00 AM,1/1/2004 9:00:00 PM,1/2/2004 3:00:00 AM,1/1/2004 10:00:00 PM,PJM-E,31251
1/2/2004 2:00:00 AM,1/1/2004 9:00:00 PM,1/2/2004 3:00:00 AM,1/1/2004 10:00:00 PM,PJM-W,5671
1/2/2004 3:00:00 AM,1/1/2004 10:00:00 PM,1/2/2004 4:00:00 AM,1/1/2004 11:00:00 PM,PJM-E,29547
1/2/2004 3:00:00 AM,1/1/2004 10:00:00 PM,1/2/2004 4:00:00 AM,1/1/2004 11:00:00 PM,PJM-W,5398
